Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4441492k free), swap 16212796k(12109760k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=4284481536 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T01:38:18.677+0800: 0.636: [GC (Allocation Failure) 2020-10-27T01:38:18.677+0800: 0.637: [DefNew: 33856K->3446K(38080K), 0.0095372 secs] 33856K->3446K(122752K), 0.0097165 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T01:38:18.933+0800: 0.892: [GC (Allocation Failure) 2020-10-27T01:38:18.933+0800: 0.892: [DefNew: 37302K->1588K(38080K), 0.0076162 secs] 37302K->3823K(122752K), 0.0076784 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:38:19.193+0800: 1.152: [GC (Allocation Failure) 2020-10-27T01:38:19.193+0800: 1.152: [DefNew: 35444K->2375K(38080K), 0.0050915 secs] 37679K->4610K(122752K), 0.0051538 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T01:38:19.365+0800: 1.323: [GC (Allocation Failure) 2020-10-27T01:38:19.365+0800: 1.323: [DefNew: 36231K->2155K(38080K), 0.0063890 secs] 38466K->4912K(122752K), 0.0064547 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T01:38:19.503+0800: 1.462: [GC (Allocation Failure) 2020-10-27T01:38:19.503+0800: 1.462: [DefNew: 36011K->2415K(38080K), 0.0067310 secs] 38768K->5772K(122752K), 0.0068026 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-27T01:38:19.679+0800: 1.638: [GC (Allocation Failure) 2020-10-27T01:38:19.679+0800: 1.638: [DefNew: 36271K->2648K(38080K), 0.0078671 secs] 39628K->6651K(122752K), 0.0079383 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:38:19.842+0800: 1.801: [GC (Allocation Failure) 2020-10-27T01:38:19.842+0800: 1.801: [DefNew: 36504K->2279K(38080K), 0.0067552 secs] 40507K->7039K(122752K), 0.0068632 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:38:19.904+0800: 1.864: [Full GC (Metadata GC Threshold) 2020-10-27T01:38:19.904+0800: 1.864: [Tenured: 4759K->5850K(84672K), 0.0267003 secs] 25393K->5850K(122752K), [Metaspace: 20517K->20517K(1067008K)], 0.0267929 secs] [Times: user=0.05 sys=0.02, real=0.03 secs] 
2020-10-27T01:38:20.295+0800: 2.255: [GC (Allocation Failure) 2020-10-27T01:38:20.295+0800: 2.255: [DefNew: 33920K->2612K(38144K), 0.0087708 secs] 39770K->8463K(122816K), 0.0088534 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T01:38:20.710+0800: 2.669: [GC (Allocation Failure) 2020-10-27T01:38:20.710+0800: 2.669: [DefNew: 36532K->2544K(38144K), 0.0098280 secs] 42383K->9942K(122816K), 0.0098928 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:38:20.980+0800: 2.940: [GC (Allocation Failure) 2020-10-27T01:38:20.980+0800: 2.940: [DefNew: 36464K->1168K(38144K), 0.0067718 secs] 43862K->9771K(122816K), 0.0068459 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
