Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4341056k free), swap 16212796k(12075356k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T01:25:32.297+0800: 0.769: [GC (Allocation Failure) 2020-10-27T01:25:32.297+0800: 0.769: [DefNew: 33856K->3446K(38080K), 0.0120135 secs] 33856K->3446K(122752K), 0.0122456 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:25:32.625+0800: 1.095: [GC (Allocation Failure) 2020-10-27T01:25:32.625+0800: 1.095: [DefNew: 37302K->1668K(38080K), 0.0135409 secs] 37302K->3903K(122752K), 0.0136225 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:25:32.938+0800: 1.409: [GC (Allocation Failure) 2020-10-27T01:25:32.938+0800: 1.409: [DefNew: 35524K->2381K(38080K), 0.0084928 secs] 37759K->4616K(122752K), 0.0085689 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:25:33.210+0800: 1.680: [GC (Allocation Failure) 2020-10-27T01:25:33.211+0800: 1.680: [DefNew: 36237K->2135K(38080K), 0.0122475 secs] 38472K->4938K(122752K), 0.0123278 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:25:33.715+0800: 2.185: [GC (Allocation Failure) 2020-10-27T01:25:33.715+0800: 2.185: [DefNew: 35991K->2689K(38080K), 0.0121931 secs] 38794K->6050K(122752K), 0.0123019 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2020-10-27T01:25:34.274+0800: 2.744: [GC (Allocation Failure) 2020-10-27T01:25:34.274+0800: 2.744: [DefNew: 36545K->2946K(38080K), 0.0106234 secs] 39906K->6923K(122752K), 0.0107177 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:25:34.533+0800: 3.013: [Full GC (Metadata GC Threshold) 2020-10-27T01:25:34.533+0800: 3.013: [Tenured: 3976K->6842K(84672K), 0.0403902 secs] 37373K->6842K(122752K), [Metaspace: 20493K->20493K(1067008K)], 0.0405010 secs] [Times: user=0.09 sys=0.02, real=0.05 secs] 
2020-10-27T01:25:35.002+0800: 3.474: [GC (Allocation Failure) 2020-10-27T01:25:35.002+0800: 3.474: [DefNew: 33920K->1465K(38144K), 0.0062652 secs] 40762K->8307K(122816K), 0.0063535 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-27T01:25:35.524+0800: 3.993: [GC (Allocation Failure) 2020-10-27T01:25:35.524+0800: 3.993: [DefNew: 35385K->3644K(38144K), 0.0101896 secs] 42227K->10487K(122816K), 0.0102667 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:25:35.958+0800: 4.427: [GC (Allocation Failure) 2020-10-27T01:25:35.958+0800: 4.427: [DefNew: 37564K->1730K(38144K), 0.0144375 secs] 44407K->11044K(122816K), 0.0145346 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2020-10-27T01:25:36.168+0800: 4.641: [GC (Allocation Failure) 2020-10-27T01:25:36.168+0800: 4.641: [DefNew: 35650K->2140K(38144K), 0.0064406 secs] 44964K->11454K(122816K), 0.0065115 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:25:36.840+0800: 5.314: [GC (Allocation Failure) 2020-10-27T01:25:36.840+0800: 5.314: [DefNew: 36060K->2459K(38144K), 0.0080531 secs] 45374K->12479K(122816K), 0.0081231 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:25:37.278+0800: 5.750: [GC (Allocation Failure) 2020-10-27T01:25:37.278+0800: 5.750: [DefNew: 36379K->4223K(38144K), 0.0121124 secs] 46399K->17725K(122816K), 0.0121821 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:25:37.637+0800: 6.107: [GC (Allocation Failure) 2020-10-27T01:25:37.637+0800: 6.107: [DefNew: 38143K->1404K(38144K), 0.0095982 secs] 51645K->19110K(122816K), 0.0096881 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:25:37.840+0800: 6.321: [GC (Allocation Failure) 2020-10-27T01:25:37.840+0800: 6.321: [DefNew: 35324K->2047K(38144K), 0.0078426 secs] 53030K->19753K(122816K), 0.0079235 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2020-10-27T01:25:38.106+0800: 6.586: [GC (Allocation Failure) 2020-10-27T01:25:38.106+0800: 6.586: [DefNew: 35967K->3300K(38144K), 0.0086165 secs] 53673K->21006K(122816K), 0.0087517 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T01:25:38.356+0800: 6.830: [GC (Allocation Failure) 2020-10-27T01:25:38.356+0800: 6.830: [DefNew: 37220K->2684K(38144K), 0.0161012 secs] 54926K->22042K(122816K), 0.0162033 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
