Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4392684k free), swap 16212796k(12088928k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T01:32:42.704+0800: 17.329: [GC (Allocation Failure) 2020-10-27T01:32:42.704+0800: 17.329: [DefNew: 36539K->31K(38144K), 0.0071331 secs] 58327K->23915K(122816K), 0.0072376 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2020-10-27T01:32:45.657+0800: 20.270: [GC (Allocation Failure) 2020-10-27T01:32:45.657+0800: 20.270: [DefNew: 33951K->90K(38144K), 0.0039254 secs] 57835K->23974K(122816K), 0.0040329 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:32:47.863+0800: 22.475: [GC (Allocation Failure) 2020-10-27T01:32:47.863+0800: 22.475: [DefNew: 34010K->89K(38144K), 0.0043795 secs] 57894K->23973K(122816K), 0.0044915 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-10-27T01:32:49.203+0800: 23.823: [GC (Allocation Failure) 2020-10-27T01:32:49.203+0800: 23.823: [DefNew: 34009K->86K(38144K), 0.0047413 secs] 57893K->23970K(122816K), 0.0048418 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:32:50.897+0800: 25.510: [GC (Allocation Failure) 2020-10-27T01:32:50.897+0800: 25.510: [DefNew: 34006K->103K(38144K), 0.0041020 secs] 57890K->23987K(122816K), 0.0042062 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:32:52.233+0800: 26.856: [GC (Allocation Failure) 2020-10-27T01:32:52.233+0800: 26.856: [DefNew: 34023K->118K(38144K), 0.0035814 secs] 57907K->24002K(122816K), 0.0036858 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:32:53.217+0800: 27.844: [GC (Allocation Failure) 2020-10-27T01:32:53.217+0800: 27.844: [DefNew: 34038K->128K(38144K), 0.0040285 secs] 57922K->24012K(122816K), 0.0041316 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T01:32:53.877+0800: 28.502: [GC (Allocation Failure) 2020-10-27T01:32:53.877+0800: 28.502: [DefNew: 34048K->130K(38144K), 0.0042681 secs] 57932K->24014K(122816K), 0.0043726 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T01:32:54.603+0800: 29.215: [GC (Allocation Failure) 2020-10-27T01:32:54.603+0800: 29.215: [DefNew: 34050K->118K(38144K), 0.0041553 secs] 57934K->24002K(122816K), 0.0042564 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:32:55.267+0800: 29.885: [GC (Allocation Failure) 2020-10-27T01:32:55.267+0800: 29.885: [DefNew: 34038K->127K(38144K), 0.0044982 secs] 57922K->24011K(122816K), 0.0045981 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:32:55.908+0800: 30.527: [GC (Allocation Failure) 2020-10-27T01:32:55.908+0800: 30.527: [DefNew: 34047K->121K(38144K), 0.0039404 secs] 57931K->24005K(122816K), 0.0040384 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:32:56.533+0800: 31.151: [GC (Allocation Failure) 2020-10-27T01:32:56.533+0800: 31.151: [DefNew: 34041K->145K(38144K), 0.0041244 secs] 57925K->24029K(122816K), 0.0042249 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:32:57.158+0800: 31.776: [GC (Allocation Failure) 2020-10-27T01:32:57.158+0800: 31.776: [DefNew: 34065K->121K(38144K), 0.0040596 secs] 57949K->24005K(122816K), 0.0041599 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:32:57.783+0800: 32.410: [GC (Allocation Failure) 2020-10-27T01:32:57.783+0800: 32.410: [DefNew: 34041K->124K(38144K), 0.0044193 secs] 57925K->24008K(122816K), 0.0045123 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T01:32:58.432+0800: 33.045: [GC (Allocation Failure) 2020-10-27T01:32:58.432+0800: 33.045: [DefNew: 34044K->122K(38144K), 0.0043690 secs] 57928K->24006K(122816K), 0.0044692 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:32:59.054+0800: 33.667: [GC (Allocation Failure) 2020-10-27T01:32:59.055+0800: 33.667: [DefNew: 34042K->95K(38144K), 0.0035339 secs] 57926K->24004K(122816K), 0.0036256 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:32:59.712+0800: 34.324: [GC (Allocation Failure) 2020-10-27T01:32:59.712+0800: 34.324: [DefNew: 34015K->70K(38144K), 0.0042487 secs] 57924K->24006K(122816K), 0.0043479 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:00.360+0800: 34.972: [GC (Allocation Failure) 2020-10-27T01:33:00.360+0800: 34.972: [DefNew: 33990K->62K(38144K), 0.0036983 secs] 57926K->24006K(122816K), 0.0037912 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:01.029+0800: 35.642: [GC (Allocation Failure) 2020-10-27T01:33:01.029+0800: 35.642: [DefNew: 33982K->67K(38144K), 0.0040941 secs] 57926K->24014K(122816K), 0.0041989 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:01.688+0800: 36.300: [GC (Allocation Failure) 2020-10-27T01:33:01.688+0800: 36.300: [DefNew: 33987K->46K(38144K), 0.0037863 secs] 57934K->24012K(122816K), 0.0038779 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:02.351+0800: 36.974: [GC (Allocation Failure) 2020-10-27T01:33:02.351+0800: 36.974: [DefNew: 33966K->33K(38144K), 0.0038149 secs] 57932K->24011K(122816K), 0.0039085 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:03.007+0800: 37.620: [GC (Allocation Failure) 2020-10-27T01:33:03.007+0800: 37.620: [DefNew: 33953K->28K(38144K), 0.0036345 secs] 57931K->24010K(122816K), 0.0037291 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:03.679+0800: 38.303: [GC (Allocation Failure) 2020-10-27T01:33:03.679+0800: 38.303: [DefNew: 33948K->27K(38144K), 0.0034129 secs] 57930K->24009K(122816K), 0.0035094 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:04.272+0800: 38.899: [GC (Allocation Failure) 2020-10-27T01:33:04.272+0800: 38.899: [DefNew: 33947K->27K(38144K), 0.0030659 secs] 57929K->24009K(122816K), 0.0031635 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T01:33:04.902+0800: 39.524: [GC (Allocation Failure) 2020-10-27T01:33:04.902+0800: 39.524: [DefNew: 33947K->29K(38144K), 0.0037992 secs] 57929K->24011K(122816K), 0.0039013 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
