Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4598516k free), swap 16212796k(12511320k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-27T00:12:37.008+0800: 0.546: [Full GC (Ergonomics) [PSYoungGen: 14773K->10513K(29184K)] [ParOldGen: 87519K->87463K(87552K)] 102293K->97977K(116736K), [Metaspace: 2647K->2647K(1056768K)], 0.0156374 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:37.024+0800: 0.562: [Full GC (Ergonomics) [PSYoungGen: 14413K->11436K(29184K)] [ParOldGen: 87463K->87192K(87552K)] 101876K->98629K(116736K), [Metaspace: 2647K->2647K(1056768K)], 0.0054617 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:37.039+0800: 0.569: [Full GC (Ergonomics) [PSYoungGen: 14787K->12280K(29184K)] [ParOldGen: 87192K->87192K(87552K)] 101980K->99472K(116736K), [Metaspace: 2647K->2647K(1056768K)], 0.0022756 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:37.039+0800: 0.572: [Full GC (Ergonomics) [PSYoungGen: 14383K->12902K(29184K)] [ParOldGen: 87192K->87153K(87552K)] 101575K->100055K(116736K), [Metaspace: 2647K->2647K(1056768K)], 0.0082868 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:37.039+0800: 0.580: [Full GC (Ergonomics) [PSYoungGen: 14821K->12974K(29184K)] [ParOldGen: 87153K->87153K(87552K)] 101975K->100127K(116736K), [Metaspace: 2647K->2647K(1056768K)], 0.0029358 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:37.055+0800: 0.584: [Full GC (Ergonomics) [PSYoungGen: 14821K->13226K(29184K)] [ParOldGen: 87153K->87153K(87552K)] 101974K->100380K(116736K), [Metaspace: 2647K->2647K(1056768K)], 0.0023574 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:37.055+0800: 0.587: [Full GC (Ergonomics) [PSYoungGen: 14839K->13302K(29184K)] [ParOldGen: 87153K->87466K(87552K)] 101992K->100768K(116736K), [Metaspace: 2647K->2647K(1056768K)], 0.0114916 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2020-10-27T00:12:37.071+0800: 0.599: [Full GC (Ergonomics) [PSYoungGen: 14596K->14044K(29184K)] [ParOldGen: 87466K->87382K(87552K)] 102062K->101427K(116736K), [Metaspace: 2647K->2647K(1056768K)], 0.0079416 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:37.071+0800: 0.607: [Full GC (Ergonomics) [PSYoungGen: 14775K->14134K(29184K)] [ParOldGen: 87382K->87382K(87552K)] 102158K->101516K(116736K), [Metaspace: 2647K->2647K(1056768K)], 0.0030489 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:37.071+0800: 0.611: [Full GC (Ergonomics) [PSYoungGen: 14830K->14143K(29184K)] [ParOldGen: 87382K->87382K(87552K)] 102213K->101525K(116736K), [Metaspace: 2647K->2647K(1056768K)], 0.0024310 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
