Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4499900k free), swap 16212796k(12157380k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T01:18:26.090+0800: 10.300: [Full GC (Metadata GC Threshold) 2020-10-27T01:18:26.090+0800: 10.300: [Tenured: 19427K->23539K(84672K), 0.0556309 secs] 32060K->23539K(122816K), [Metaspace: 34218K->34218K(1081344K)], 0.0557113 secs] [Times: user=0.05 sys=0.00, real=0.06 secs] 
2020-10-27T01:18:27.360+0800: 11.571: [GC (Allocation Failure) 2020-10-27T01:18:27.360+0800: 11.571: [DefNew: 33920K->723K(38144K), 0.0061723 secs] 57459K->24263K(122816K), 0.0062735 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:28.572+0800: 12.783: [GC (Allocation Failure) 2020-10-27T01:18:28.572+0800: 12.783: [DefNew: 34643K->453K(38144K), 0.0061236 secs] 58183K->23993K(122816K), 0.0062320 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:30.912+0800: 15.123: [GC (Allocation Failure) 2020-10-27T01:18:30.912+0800: 15.123: [DefNew: 34373K->451K(38144K), 0.0061182 secs] 57913K->23990K(122816K), 0.0062272 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:32.330+0800: 16.553: [GC (Allocation Failure) 2020-10-27T01:18:32.330+0800: 16.553: [DefNew: 34371K->490K(38144K), 0.0062684 secs] 57910K->24030K(122816K), 0.0063591 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T01:18:33.493+0800: 17.704: [GC (Allocation Failure) 2020-10-27T01:18:33.493+0800: 17.704: [DefNew: 34410K->483K(38144K), 0.0062448 secs] 57950K->24023K(122816K), 0.0063811 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:35.223+0800: 19.434: [GC (Allocation Failure) 2020-10-27T01:18:35.223+0800: 19.434: [DefNew: 34403K->520K(38144K), 0.0052713 secs] 57943K->24060K(122816K), 0.0053720 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:36.399+0800: 20.621: [GC (Allocation Failure) 2020-10-27T01:18:36.399+0800: 20.621: [DefNew: 34440K->518K(38144K), 0.0062659 secs] 57980K->24058K(122816K), 0.0063736 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T01:18:36.997+0800: 21.219: [GC (Allocation Failure) 2020-10-27T01:18:36.997+0800: 21.219: [DefNew: 34438K->523K(38144K), 0.0059793 secs] 57978K->24063K(122816K), 0.0060992 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T01:18:37.497+0800: 21.720: [GC (Allocation Failure) 2020-10-27T01:18:37.497+0800: 21.720: [DefNew: 34443K->525K(38144K), 0.0061732 secs] 57983K->24065K(122816K), 0.0062747 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T01:18:38.148+0800: 22.359: [GC (Allocation Failure) 2020-10-27T01:18:38.148+0800: 22.359: [DefNew: 34445K->526K(38144K), 0.0051010 secs] 57985K->24066K(122816K), 0.0051928 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:38.804+0800: 23.015: [GC (Allocation Failure) 2020-10-27T01:18:38.804+0800: 23.015: [DefNew: 34446K->525K(38144K), 0.0048978 secs] 57986K->24065K(122816K), 0.0049996 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:39.420+0800: 23.630: [GC (Allocation Failure) 2020-10-27T01:18:39.420+0800: 23.630: [DefNew: 34445K->540K(38144K), 0.0047797 secs] 57985K->24079K(122816K), 0.0048722 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
